brand,model,model_year,kilometers,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Mercedes-Benz,AMG C 63 S,2017,96560.4,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,52500
Honda,CR-V EX-L,2016,118365.35,Gasoline,2.4L I4 16V GDI DOHC,CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Unknown,20848
Hummer,H2 Base,2005,178475.81,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,19500
Porsche,911 Carrera S,2013,62764.26,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,73000
Mercedes-Benz,CLA-Class CLA 250,2016,193120.8,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,19800
Chrysler,300 Touring,2009,216620.38,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,7500
Nissan,Rogue SV,2023,1760.62,Gasoline,1.5L I3 12V GDI DOHC Turbo,CVT,Caspian Blue,Light Gray,None reported,Unknown,30999
Audi,A3 2.0T,2010,134379.89,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,6500
Ford,Mustang GT Premium,2014,59642.14,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,28500
Acura,RL Technology,2010,157232.52,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Beige,None reported,Yes,10995
Volvo,XC90 Hybrid T8 R-Design,2018,64373.6,Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Black,Black,None reported,Yes,42000
Audi,R8 5.2 V10,2018,14387.5,Gasoline,5.2L V10 40V PDI DOHC,Automatic,Tango Red Metallic,Black,None reported,Unknown,144900
Mercedes-Benz,GLK-Class GLK 350,2014,299337.24,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,10000
Toyota,C-HR LE,2021,21211.1,Gasoline,2.0 Liter,CVT,–,–,None reported,Unknown,23998
Lexus,IS 350 Base,2014,167371.36,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,21000
BMW,X4 M40i,2023,13679.39,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Gray,Beige,None reported,Yes,67900
BMW,M4 CS,2019,30688.5,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,Unknown,69998
Cadillac,CT5 Premium Luxury,2023,9800.88,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,46900
Audi,A5 2.0T Premium Plus,2019,76480.66,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,31000
Chrysler,300C SRT8,2006,69201.62,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,19995
Bentley,Continental GT W12,2017,23631.55,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,Yes,130000
BMW,M4 Base,2019,93019.85,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Red,None reported,Yes,55999
Toyota,GR Corolla Circuit Edition,2023,1532.09,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Manual,Silver,Gray,None reported,Yes,49950
Audi,RS 5 2.9T,2019,34182.38,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59950
Porsche,Cayenne Base,2019,95495.02,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,42499
Lamborghini,Huracan Tecnica Coupe,2023,410.38,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,Unknown,359991
Maserati,Quattroporte S,2019,37384.97,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,44999
Jaguar,XF 35t R-Sport,2017,77248.32,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,30000
Lexus,ES 330 Base,2005,66077.89,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,11100
Land,Rover Discovery Sport SE R-Dynamic,2020,34182.38,Gasoline,2.0 Liter,Automatic,White,Black,None reported,Unknown,37998
Porsche,Cayman GTS,2015,18507.41,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,–,None reported,Yes,72000
Genesis,G90 3.3T Premium,2021,16012.93,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Blue,None reported,Yes,53950
Volkswagen,Golf R 20th Anniversary Edition,2023,1018.71,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,47999
Hyundai,Sonata Hybrid Limited,2015,106216.44,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,15900
Audi,RS 7 4.0T Prestige,2014,96101.74,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,45000
BMW,740 Li,2012,137199.45,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,18500
Mercedes-Benz,GLS 450 Base 4MATIC,2020,28807.19,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,80000
BMW,M6 Base,2016,41038.17,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,55000
Hyundai,Elantra N Base,2023,6115.49,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,34000
Kia,Niro Plug-In Hybrid EX Premium,2022,58905.06,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,Horizon Blue,Charcoal,None reported,Yes,31995
Aston,Martin DBS Superleggera,2021,3484.22,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,Black,Black,None reported,Yes,279950
Mercedes-Benz,SLC 300 Base,2018,53108.22,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,29900
BMW,435 Gran Coupe i,2016,122324.32,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,24950
Jeep,Grand Cherokee Summit,2020,50451.2,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Unknown,39366
Lexus,RC 350 Base,2015,77248.32,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Orange,Red,None reported,Yes,32900
BMW,525 i,2005,147125.86,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,8900
Toyota,Corolla LE,2003,200774.82,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,4995
Cadillac,CT5-V Blackwing,2023,3886.56,Gasoline,6.2L V8 16V GDI OHV Supercharged,Automatic,Rift Metallic,Gray,None reported,Unknown,104900
GMC,Acadia SLT-1,2012,187047.15,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,7900
Lexus,LC 500 Base,2020,60944.1,Gasoline,5.0L V8 32V PDI DOHC,Automatic,Atomic Silver,Rioja Red,None reported,Unknown,75950
BMW,i8 Base,2019,66787.61,Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Automatic,White,Black,None reported,Yes,86000
Lexus,ES 300h Base,2013,140014.19,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT,Gold,Beige,None reported,Yes,17995
Cadillac,CT5-V V-Series,2022,7163.17,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655
BMW,540 i xDrive,2020,43706.46,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,Unknown,39998
Chevrolet,Express 1500 Work Van,2014,224992.17,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500
Jeep,Gladiator Rubicon,2022,43934.98,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,None reported,Yes,47500
BMW,Z4 sDrive28i,2014,59243.02,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,27000
Land,Rover LR4 HSE LUX Landmark Edition,2016,231744.96,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000
Cadillac,XT4 Sport,2019,71615.63,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,None reported,Yes,28900
BMW,750 750i xDrive,2021,17569.16,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,Unknown,73998
Bentley,Arnage R,2005,13409.02,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,47350
Lincoln,Aviator Reserve AWD,2020,82473.85,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,Unknown,47698
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,111044.46,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,Yes,36500
RAM,ProMaster 3500 High Roof,2021,237915.17,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,None reported,Yes,32662
Ford,Utility Police Interceptor Base,2013,168980.7,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,White,Black,At least 1 accident or damage reported,Yes,6600
Audi,A5 2.0T Premium,2011,148385.98,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,None reported,Yes,9995
Nissan,GT-R Premium,2010,25105.7,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,69500
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,168497.9,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,Unknown,30775
Toyota,Corolla LE,2010,116432.53,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,9995
Mercedes-Benz,C-Class C300 4MATIC,2022,21206.27,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,Unknown,44798
Porsche,Cayenne E-Hybrid S,2016,154496.64,Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Automatic,White,Red,At least 1 accident or damage reported,Yes,23000
Chevrolet,Express 1500 Work Van,2011,149683.1,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,Automatic,Summit White,Medium Pewter,None reported,Yes,22495
INFINITI,Q70h Base,2016,84892.68,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,28998
Audi,A7 Premium Plus,2020,40814.47,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,Unknown,49998
BMW,650 Gran Coupe i xDrive,2015,65982.94,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,30000
Subaru,Forester Premium,2021,67793.45,Gasoline,2.5L H4 16V GDI DOHC,CVT,Crystal Black Silica,Black,None reported,Yes,27899
Mercedes-Benz,AMG C AMG C 63,2016,99779.08,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,40000
Land,Rover LR3 HSE,2006,247585.69,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,9950
BMW,X7 xDrive40i,2019,56726.02,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,Unknown,53998
Ford,Transit Connect XLT,2015,312942.6,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,9888
Lexus,LX 570 Three-Row,2021,33796.14,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,89999
Dodge,Ram 2500 Laramie Quad Cab,2006,350836.12,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,None reported,Yes,12990
Nissan,Armada SL,2021,109113.25,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,36500
Porsche,Cayman Base,2014,127137.86,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,42999
Mercedes-Benz,GLE 450 GLE 450,2022,40082.22,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,None reported,Unknown,63998
Chevrolet,Monte Carlo SS,2006,107568.29,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,12000
BMW,M5 Base,2013,138403.24,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,None reported,Yes,32000
Hyundai,Kona N Base,2023,1052.51,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Ultra Black,Black,None reported,Yes,34599
Chevrolet,Monte Carlo SS,2005,120700.5,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,12500
Land,Rover Range Rover Evoque Pure,2015,135184.56,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Beige,Black,At least 1 accident or damage reported,Yes,22800
Audi,S7 4.0T Premium Plus,2017,84490.35,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,39999
GMC,Acadia SLT-1,2011,193120.8,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,7500
Alfa,Romeo Stelvio Ti Sport,2020,30038.33,Gasoline,2.0L I4 16V GDI SOHC Turbo,Automatic,Lunare White Metallic,Ice,None reported,Yes,35645
Ferrari,FF Base,2016,32165.88,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,Yes,149900
Kia,K900 5.0L,2017,58718.38,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,23950
Ford,E150 XLT,2013,260874.01,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,Automatic,Black,Gray,None reported,Yes,12500
Toyota,4Runner SR5,2022,45668.24,Gasoline,4.0L V6 24V MPFI DOHC,Automatic,Silver,Gray,None reported,Unknown,36999
Subaru,Forester Base,2020,52696.23,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT,Black,Gray,None reported,Yes,24000
Porsche,Panamera 2,2012,86904.36,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,–,At least 1 accident or damage reported,Yes,26000
Toyota,Tacoma PreRunner,2008,325175.19,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,8500
RAM,2500 Laramie,2019,104607.1,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Automatic,Black,Black,None reported,Yes,65000
Kia,Sportage Nightfall,2022,15588.07,Gasoline,2.4L I4 16V GDI DOHC,Automatic,Hyper Red,Black,None reported,Yes,30990
Cadillac,DTS Base,2010,79855.45,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,10499
Toyota,Land Cruiser Base,1997,342789.42,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,26500
Nissan,GT-R Premium,2020,25765.53,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,114000
Lexus,NX 350 F SPORT Handling,2023,1319.66,Gasoline,2.4 Liter,Automatic,Black,Black,None reported,Unknown,51998
Audi,Q7 45 Premium Plus,2021,109435.12,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,36499
Lexus,LX 470 Base,1999,131965.88,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,25000
GMC,Terrain SLE,2022,44018.67,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic,Summit White,Jet Black,None reported,Unknown,27785
Ford,Escape Limited,2012,207604.86,Gasoline,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,7000
Lexus,LS 460 L,2014,171766.47,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,30000
Ford,Expedition Platinum,2019,55799.04,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,Yes,45500
Chevrolet,Malibu LTZ,2010,89962.11,Gasoline,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Beige,Beige,None reported,Yes,8950
Audi,RS 7 4.0T quattro,2023,5082.3,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,Unknown,128900
Audi,A5 2.0T Premium Plus,2015,131965.88,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Brown,None reported,Yes,17000
Genesis,G70 2.0T,2023,7700.69,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Vik Black,Obsidian Black,None reported,Yes,42850
Chevrolet,Trailblazer LS,2021,32986.64,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic,Pacific Blue Metallic,Black,None reported,Unknown,22999
Scion,tC Base,2013,285818.78,Gasoline,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,7100
Lincoln,MKZ Hybrid Base,2014,126442.63,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,Blue,Beige,None reported,Yes,15500
Ford,Transit-350 XL,2018,152887.3,E85 Flex Fuel,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,White,Gray,None reported,Yes,43000
Porsche,911 GT2 RS,2018,7288.7,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,Automatic,Black,Black,None reported,Yes,417500
